_id,nombre,correo,rol,fechaRegistro
7b8d852c-94da-45aa-83f8-5646cc64909d,Usuario 1,user1@correo.com,cliente,2023-05-16T00:00:00
7d32ceb8-df5f-43c8-b004-e73385c736d6,Usuario 2,user2@correo.com,cliente,2023-03-12T00:00:00
d791e32d-4281-40df-90a3-20648548ea5d,Usuario 3,user3@correo.com,repartidor,2022-10-08T00:00:00
1a47aa9c-6f4e-490c-9ec4-cd1d828c683e,Usuario 4,user4@correo.com,admin,2023-06-08T00:00:00
e922a4da-c238-4f5a-86e6-ff6b6a6a10d8,Usuario 5,user5@correo.com,admin,2024-04-17T00:00:00
0305d886-e368-4123-9587-9e2f3026f2c8,Usuario 6,user6@correo.com,admin,2023-11-10T00:00:00
c2958239-0c25-401b-8b94-1ae901095606,Usuario 7,user7@correo.com,cliente,2022-12-16T00:00:00
8dcfbdbf-e014-45cd-b7d4-f4b6fc29b929,Usuario 8,user8@correo.com,admin,2022-09-13T00:00:00
eec6032f-bef6-428a-8820-554262216e4b,Usuario 9,user9@correo.com,admin,2023-02-26T00:00:00
965d6eca-e99e-4352-98ae-c5bb3ae26f64,Usuario 10,user10@correo.com,admin,2024-12-31T00:00:00
51acd6b7-9dc3-4be5-af37-0727f6de0c5a,Usuario 11,user11@correo.com,admin,2023-01-08T00:00:00
3b925d77-8215-457a-b09d-a016b9dace58,Usuario 12,user12@correo.com,admin,2024-09-16T00:00:00
d4f35dd1-c7b5-42c3-85ec-19da3686ec1c,Usuario 13,user13@correo.com,admin,2024-08-15T00:00:00
bcb55b22-93dc-42c8-ad07-3b36eacad5a3,Usuario 14,user14@correo.com,cliente,2023-09-22T00:00:00
aa403444-3ba3-4ec7-ab12-40b6a3354ae9,Usuario 15,user15@correo.com,repartidor,2024-10-31T00:00:00
f02c9627-9a1b-425d-a67e-31672685dd2e,Usuario 16,user16@correo.com,repartidor,2024-07-31T00:00:00
96dc8d7c-0221-4e62-988e-07b8b21b2b2e,Usuario 17,user17@correo.com,repartidor,2023-09-10T00:00:00
104ca620-cb9c-4963-a246-56770435f9ea,Usuario 18,user18@correo.com,admin,2022-02-04T00:00:00
57ee598f-f1d1-4198-835f-3fa0c2d8eb62,Usuario 19,user19@correo.com,repartidor,2022-08-04T00:00:00
0e40141d-1196-441a-a95b-871320a8f68f,Usuario 20,user20@correo.com,repartidor,2023-07-26T00:00:00
65926677-ae2e-4776-9337-2ac392142136,Usuario 21,user21@correo.com,repartidor,2023-12-06T00:00:00
fbea2c2f-df13-44e0-ad99-f481c8f16106,Usuario 22,user22@correo.com,repartidor,2023-01-26T00:00:00
eed31fbd-86a3-434c-9eea-f026c4bed2ec,Usuario 23,user23@correo.com,repartidor,2023-08-16T00:00:00
1ce32713-8230-43eb-a76a-19fd7d816261,Usuario 24,user24@correo.com,repartidor,2024-02-05T00:00:00
92cf68ed-e989-4c46-8477-b1c1e8cd0b71,Usuario 25,user25@correo.com,cliente,2024-01-05T00:00:00
a3f2df71-ae96-48b5-9ce3-12fcda8f5dec,Usuario 26,user26@correo.com,repartidor,2022-09-21T00:00:00
28a6a0ea-3185-44ce-aa88-59b60ad37a37,Usuario 27,user27@correo.com,repartidor,2022-06-10T00:00:00
f1bb7385-7d10-4076-917a-83efb9e507f3,Usuario 28,user28@correo.com,admin,2022-11-04T00:00:00
8aba33e0-2be5-4496-bfae-17ed24974933,Usuario 29,user29@correo.com,admin,2022-10-05T00:00:00
f28b07b8-4967-4015-a5c1-0d34c9c63183,Usuario 30,user30@correo.com,repartidor,2022-03-15T00:00:00
